"","SrcID_Feat","unit","mean_dist"
"185",25,25,605.969777990259
"186",26,25,815.057087559806
"187",3410,25,813.335361789973
"188",310,26,648.292028573817
"189",699,26,778.665600692965
"190",1193,26,697.066532458254
"191",3579,26,720.299644676405
"192",3774,26,546.203807067867
"193",84,27,441.09472027949
"194",311,27,676.711193363805
"195",1978,27,906.961195204
"196",2380,27,709.7612162272
"197",2400,27,826.432909416364
"198",2503,27,693.237759453875
"199",772,28,989.949523926
"200",1544,28,822.006629774244
"201",1985,28,812.276960754325
"202",1987,28,976.094645182333
"203",2007,28,635.327687856284
"204",3826,28,579.052180460048
"205",3848,28,925.134178161625
"206",771,29,727.588861773081
"207",1549,29,660.590073714684
"208",3746,29,648.54580047605
"209",771,30,619.213473365393
"210",1549,30,939.140865325938
"211",1614,30,921.856515737692
"212",2653,30,676.112872895714
"213",3746,30,562.53109436034
"214",4118,30,725.233340379585
"215",4135,30,902.276835123667
"216",1117,31,669.894482344833
"217",1117,32,669.894482344833
"218",84,33,939.0517822264
"219",311,33,895.356597900357
"220",312,33,766.662671175841
"221",1978,33,636.389418262508
"222",2003,33,920.884937633182
"223",2379,33,591.551890413521
"224",2380,33,814.703418731625
"225",2400,33,563.527635550778
"226",2057,34,829.3457702636
"227",2283,34,937.632466634167
"228",2480,34,614.440239883049
"229",2502,34,843.943437056
"230",3067,34,935.7521591185
"231",3516,34,695.998997614923
"232",3879,34,532.40766616695
"233",3890,34,845.30478922525
"234",4038,34,763.310585123627
"235",4845,34,938.085797991143
"236",2057,35,780.80590311675
"237",2283,35,846.478591918937
"238",2480,35,701.597883224469
"239",2502,35,763.621440058044
"240",3067,35,1000
"241",3516,35,543.798369558237
"242",3879,35,576.027944084344
"243",3890,35,889.474268595333
"244",4038,35,800.598216717
"245",2057,36,908.380279540875
"246",2283,36,846.478591918937
"247",2480,36,877.3680877685
"248",2502,36,759.10505490178
"249",3516,36,460.149294535396
"250",3879,36,621.974718056929
"251",3890,36,1000
"252",4038,36,844.468873765667
"253",310,37,925.134178161625
"254",1537,37,1000
"255",1646,37,951.841186523333
"256",2397,37,825.836167108405
"257",3554,37,609.340231393107
"258",3882,37,643.937037876651
"259",4153,37,909.1996358235
"260",1601,38,938.085797991143
"261",1831,38,951.841186523333
"262",1847,38,666.084686279292
"263",3071,38,307.169586181717
"264",3669,38,596.88799483687
"265",3816,38,960.9772338865
"266",4865,38,783.712120961254
"267",4877,38,751.271146065743
"268",4901,38,863.789046438053
"269",4902,38,766.662671175841
"270",637,39,896.763357309077
"271",3071,39,905.526809692333
"272",3669,39,712.403407096937
"273",3816,39,984.885803223
"274",3827,39,669.924092473216
"275",4864,39,881.104492187444
"276",4865,39,841.111199951133
"277",4876,39,545.366689930783
"278",4877,39,468.329749843029
"279",4878,39,891.899344889333
"280",4880,39,984.885803223
"281",4901,39,678.193633506966
"282",1847,40,866.827663421563
"283",3071,40,477.889467322304
"284",3669,40,522.358933284345
"285",3816,40,923.492455115692
"286",3827,40,966.7845458985
"287",4865,40,869.558187795186
"288",4876,40,1000
"289",4877,40,606.272999924862
"290",4901,40,696.358931614769
"291",4902,40,869.485339936714
"292",771,41,950
"293",1549,41,647.445583452471
"294",1554,41,936.4793334962
"295",2399,41,839.777637188192
"296",2401,41,958.464614868
"297",3746,41,616.539809241639
"298",4135,41,931.3520324707
"299",771,42,887.249199761278
"300",1549,42,690.062030414171
"301",2399,42,883.906055797273
"302",2401,42,964.1419677735
"303",3746,42,571.830812988253
"304",4118,42,866.74375
"305",4135,42,901.47943420405
"306",637,43,751.6146312895
"307",3816,43,721.704305648688
"308",3827,43,570.937298558328
"309",4876,43,956.879252115667
"310",4878,43,976.094645182333
"311",4879,43,816.460589373482
"312",4880,43,541.254209447796
"313",4901,43,828.861709068552
"314",4913,43,841.32727050775
"315",1598,44,877.409404613315
"316",3816,44,905.233342488583
"317",3827,44,601.447170064899
"318",3839,44,699.474100449441
"319",3843,44,837.04117736815
"320",4879,44,944.04406738275
"321",4913,44,526.18352587469
"322",4914,44,548.683593749944
"323",1598,45,891.048407660611
"324",3816,45,721.3103170955
"325",3827,45,594.012102547305
"326",3839,45,872.590016682917
"327",3843,45,954.278881836
"328",4879,45,892.329912458143
"329",4880,45,901.416137695294
"330",4901,45,863.234756469687
"331",4913,45,431.971242970448
"332",4914,45,813.148567199656
"333",637,46,736.437327067
"334",3669,46,749.995253245083
"335",3816,46,857.33394775385
"336",3827,46,494.283487780345
"337",4864,46,984.885803223
"338",4876,46,656.532974574826
"339",4877,46,726.329206113426
"340",4878,46,847.122728849684
"341",4880,46,852.486342486176
"342",4901,46,559.805199458655
"343",4913,46,992.4429016115
